Date;Inflation
11.01.22;123,40
10.01.22;123,26
09.01.22;121,56
08.01.22;120,10
07.01.22;119,31
06.01.22;119,03
05.01.22;117,95
04.01.22;116,83
03.01.22;115,87
02.01.22;113,30
01.01.22;112,30
12.01.21;111,30
11.01.21;110,70
10.01.21;110,10
09.01.21;109,80
08.01.21;109,70
07.01.21;109,10
06.01.21;108,70
05.01.21;108,40
04.01.21;107,90
03.01.21;107,40
02.01.21;106,80
01.01.21;105,30
12.01.20;104,70
11.01.20;105,80
10.01.20;105,80
09.01.20;106,20
08.01.20;106,40
07.01.20;106,90
06.01.20;106,20
05.01.20;106,20
04.01.20;105,80
03.01.20;105,70
02.01.20;105,01
01.01.20;106,00
12.01.19;105,40
11.01.19;106,30
10.01.19;106,20
09.01.19;106,30
08.01.19;106,40
07.01.19;106,00
06.01.19;105,70
05.01.19;105,04
04.01.19;104,40
03.01.19;103,90
02.01.19;103,40
01.01.19;104,40
12.01.18;104,20
11.01.18;105,40
10.01.18;105,30
09.01.18;10520
08.01.18;105,20
07.01.18;104,40
06.01.18;104,30
05.01.18;103,20
04.01.18;103,00
03.01.18;102,20
02.01.18;101,70
01.01.18;102,70
12.01.17;102,00
11.01.17;102,70
10.01.17;103,00
09.01.17;103,00
08.01.17;102,90
07.01.17;102,30
06.01.17;101,80
05.01.17;101,90
04.01.17;101,30
03.01.17;101,00
02.01.17;100,20
01.01.17;101,20
12.01.16;100,30
11.01.16;101,20
10.01.16;101,10
09.01.16;101,10
08.01.16;101,10
